EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","47","2014-10-31T16:22:14.801Z","2014-10-31T16:25:14.801Z"
"","","","","","","47","2014-10-31T16:17:57.286Z","2014-10-31T16:20:57.286Z"
"","","","","","","47","2014-10-31T16:15:01.327Z","2014-10-31T16:18:01.327Z"
"","","","","","","47","2014-10-31T16:12:21.041Z","2014-10-31T16:15:21.041Z"
"","","","","","","47","2014-10-31T16:09:22.177Z","2014-10-31T16:12:22.177Z"
"","","","","","","47","2014-10-31T16:06:32.722Z","2014-10-31T16:09:32.722Z"
"","","","","","","47","2014-10-31T16:03:07.075Z","2014-10-31T16:06:07.075Z"
"","","","","","","44.82279861111111","2014-10-31T15:38:29.391Z","2014-10-31T15:48:29.391Z"
"","","","","","","44.65879976851852","2014-10-31T15:25:21.127Z","2014-10-31T15:35:21.127Z"
"","","","","","","44.49522743055556","2014-10-31T15:12:39.498Z","2014-10-31T15:22:39.498Z"
"","","","","","","44.332067708333334","2014-10-31T14:59:34.573Z","2014-10-31T15:09:34.573Z"
"","","","","","","44.16900289351852","2014-10-31T14:47:13.262Z","2014-10-31T14:57:13.262Z"
"","","","","","","44.005403935185186","2014-10-31T14:34:33.238Z","2014-10-31T14:44:33.238Z"
"","","","","","","85.7823935185185","2014-10-31T14:25:19.550Z","2014-10-31T14:35:19.550Z"
"","","","","","","85.67917563657406","2014-10-31T14:12:43.862Z","2014-10-31T14:22:43.862Z"
"","","","","","","85.57347077546295","2014-10-31T13:59:52.164Z","2014-10-31T14:09:52.164Z"
"","","","","","","85.47001273148148","2014-10-31T13:47:28.462Z","2014-10-31T13:57:28.462Z"
"","","","","","","85.36714554398148","2014-10-31T13:35:05.065Z","2014-10-31T13:45:05.065Z"
"","","","","","","85.26630960648149","2014-10-31T13:22:51.990Z","2014-10-31T13:32:51.990Z"
"","","","","","","85.16233246527779","2014-10-31T13:10:29.151Z","2014-10-31T13:20:29.151Z"
"","","","","","","85.05996730324075","2014-10-31T12:58:04.944Z","2014-10-31T13:08:04.944Z"
"","","","","","","84.95829282407409","2014-10-31T12:45:49.396Z","2014-10-31T12:55:49.396Z"
"","","","","","","84.85557696759261","2014-10-31T12:33:27.480Z","2014-10-31T12:43:27.480Z"
"","","","","","","84.75415277777779","2014-10-31T12:21:13.980Z","2014-10-31T12:31:13.980Z"
"","","","","","","84.65038223379631","2014-10-31T12:08:43.923Z","2014-10-31T12:18:43.923Z"
"","","","","","","84.54355671296297","2014-10-31T11:55:55.760Z","2014-10-31T12:05:55.760Z"
"","","","","","","84.44078385416667","2014-10-31T11:42:58.914Z","2014-10-31T11:52:58.914Z"
"","","","","","","84.3380060763889","2014-10-31T11:30:34.376Z","2014-10-31T11:40:34.376Z"
"","","","","","","84.23694241898149","2014-10-31T11:18:19.079Z","2014-10-31T11:28:19.079Z"
