EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","10","2014-10-31T16:22:14.812Z","2014-10-31T16:25:14.812Z"
"","","","","","","10","2014-10-31T16:17:57.429Z","2014-10-31T16:20:57.429Z"
"","","","","","","10","2014-10-31T16:15:01.408Z","2014-10-31T16:18:01.408Z"
"","","","","","","10","2014-10-31T16:12:20.908Z","2014-10-31T16:15:20.908Z"
"","","","","","","10","2014-10-31T16:09:22.065Z","2014-10-31T16:12:22.065Z"
"","","","","","","10","2014-10-31T16:06:32.605Z","2014-10-31T16:09:32.605Z"
"","","","","","","10","2014-10-31T16:03:07.058Z","2014-10-31T16:06:07.058Z"
"","","","","","","100.20908449074074","2014-10-31T15:33:47.628Z","2014-10-31T15:43:47.628Z"
"","","","","","","99.95258796296295","2014-10-31T15:21:06.009Z","2014-10-31T15:31:06.009Z"
"","","","","","","99.68327199074074","2014-10-31T15:08:01.053Z","2014-10-31T15:18:01.053Z"
"","","","","","","99.45311805555555","2014-10-31T14:55:39.705Z","2014-10-31T15:05:39.705Z"
"","","","","","","99.19916435185185","2014-10-31T14:42:59.723Z","2014-10-31T14:52:59.723Z"
"","","","","","","25.282539351851863","2014-10-31T14:28:11.673Z","2014-10-31T14:38:11.673Z"
"","","","","","","25.009745370370382","2014-10-31T14:15:35.862Z","2014-10-31T14:25:35.862Z"
"","","","","","","24.715570601851862","2014-10-31T14:02:44.158Z","2014-10-31T14:12:44.158Z"
"","","","","","","24.44353125000001","2014-10-31T13:50:20.634Z","2014-10-31T14:00:20.634Z"
"","","","","","","24.17600347222223","2014-10-31T13:37:57.184Z","2014-10-31T13:47:57.184Z"
"","","","","","","23.91605208333334","2014-10-31T13:25:44.103Z","2014-10-31T13:35:44.103Z"
"","","","","","","23.646879629629638","2014-10-31T13:13:21.274Z","2014-10-31T13:23:21.274Z"
"","","","","","","23.377763888888897","2014-10-31T13:00:57.092Z","2014-10-31T13:10:57.092Z"
"","","","","","","23.116255787037044","2014-10-31T12:48:41.519Z","2014-10-31T12:58:41.519Z"
"","","","","","","22.84875231481482","2014-10-31T12:36:19.624Z","2014-10-31T12:46:19.624Z"
"","","","","","","22.591317129629637","2014-10-31T12:24:06.137Z","2014-10-31T12:34:06.137Z"
"","","","","","","22.31438773148149","2014-10-31T12:11:36.095Z","2014-10-31T12:21:36.095Z"
"","","","","","","22.02516435185186","2014-10-31T11:58:47.943Z","2014-10-31T12:08:47.943Z"
"","","","","","","21.733275462962972","2014-10-31T11:45:51.059Z","2014-10-31T11:55:51.059Z"
"","","","","","","21.465141203703713","2014-10-31T11:33:26.470Z","2014-10-31T11:43:26.470Z"
"","","","","","","21.2054826388889","2014-10-31T11:21:11.194Z","2014-10-31T11:31:11.194Z"
"","","","","","","20.937091435185195","2014-10-31T11:08:47.145Z","2014-10-31T11:18:47.145Z"
"","","","","","","20.671168981481493","2014-10-31T10:56:23.190Z","2014-10-31T11:06:23.190Z"
"","","","","","","20.394324074074085","2014-10-31T10:43:51.450Z","2014-10-31T10:53:51.450Z"
"","","","","","","20.1161076388889","2014-10-31T10:31:15.193Z","2014-10-31T10:41:15.193Z"
"","","","","","","19.8514826388889","2014-10-31T10:18:55.803Z","2014-10-31T10:28:55.803Z"
"","","","","","","19.56744675925927","2014-10-31T10:06:19.862Z","2014-10-31T10:16:19.862Z"
"","","","","","","19.295278935185195","2014-10-31T09:53:52.757Z","2014-10-31T10:03:52.757Z"
"","","","","","","19.02300925925927","2014-10-31T09:41:22.166Z","2014-10-31T09:51:22.166Z"
"","","","","","","18.756871527777786","2014-10-31T09:29:00.171Z","2014-10-31T09:39:00.171Z"
"","","","","","","18.479785879629638","2014-10-31T09:16:30.381Z","2014-10-31T09:26:30.381Z"
"","","","","","","18.2119988425926","2014-10-31T09:04:06.169Z","2014-10-31T09:14:06.169Z"
"","","","","","","17.949960648148156","2014-10-31T08:51:46.165Z","2014-10-31T09:01:46.165Z"
"","","","","","","17.678366898148155","2014-10-31T08:39:18.601Z","2014-10-31T08:49:18.601Z"
"","","","","","","17.416269675925932","2014-10-31T08:27:00.728Z","2014-10-31T08:37:00.728Z"
"","","","","","","17.124290509259264","2014-10-31T08:14:20.740Z","2014-10-31T08:24:20.740Z"
"","","","","","","16.860384259259263","2014-10-31T08:02:00.162Z","2014-10-31T08:12:00.162Z"
"","","","","","","16.607481481481486","2014-10-31T07:49:54.376Z","2014-10-31T07:59:54.376Z"
"","","","","","","16.345200231481485","2014-10-31T07:37:38.507Z","2014-10-31T07:47:38.507Z"
"","","","","","","16.090745370370374","2014-10-31T07:25:30.195Z","2014-10-31T07:35:30.195Z"
"","","","","","","15.823689814814818","2014-10-31T07:13:07.307Z","2014-10-31T07:23:07.307Z"
"","","","","","","15.568273148148151","2014-10-31T07:00:58.534Z","2014-10-31T07:10:58.534Z"
"","","","","","","15.31148726851852","2014-10-31T06:48:47.573Z","2014-10-31T06:58:47.573Z"
"","","","","","","15.063928240740744","2014-10-31T06:36:44.395Z","2014-10-31T06:46:44.395Z"
"","","","","","","14.80159027777778","2014-10-31T06:24:27.455Z","2014-10-31T06:34:27.455Z"
"","","","","","","14.541753472222226","2014-10-31T06:12:10.494Z","2014-10-31T06:22:10.494Z"
"","","","","","","14.296765046296299","2014-10-31T06:00:10.010Z","2014-10-31T06:10:10.010Z"
"","","","","","","14.045821759259262","2014-10-31T05:48:05.499Z","2014-10-31T05:58:05.499Z"
"","","","","","","13.79480439814815","2014-10-31T05:36:02.739Z","2014-10-31T05:46:02.739Z"
"","","","","","","13.539045138888891","2014-10-31T05:23:53.143Z","2014-10-31T05:33:53.143Z"
"","","","","","","13.283337962962966","2014-10-31T05:11:43.799Z","2014-10-31T05:21:43.799Z"
"","","","","","","13.034100694444447","2014-10-31T04:59:41.280Z","2014-10-31T05:09:41.280Z"
"","","","","","","12.78099652777778","2014-10-31T04:47:33.811Z","2014-10-31T04:57:33.811Z"
"","","","","","","12.533618055555559","2014-10-31T04:35:32.577Z","2014-10-31T04:45:32.577Z"
"","","","","","","12.285811342592597","2014-10-31T04:23:30.103Z","2014-10-31T04:33:30.103Z"
"","","","","","","12.029895833333338","2014-10-31T04:11:18.609Z","2014-10-31T04:21:18.609Z"
"","","","","","","11.776552083333337","2014-10-31T03:59:08.181Z","2014-10-31T04:09:08.181Z"
"","","","","","","11.525778935185189","2014-10-31T03:47:03.560Z","2014-10-31T03:57:03.560Z"
"","","","","","","11.277120370370374","2014-10-31T03:35:02.227Z","2014-10-31T03:45:02.227Z"
"","","","","","","11.025855324074078","2014-10-31T03:22:58.424Z","2014-10-31T03:32:58.424Z"
"","","","","","","10.775432870370373","2014-10-31T03:10:56.304Z","2014-10-31T03:20:56.304Z"
"","","","","","","10.529217592592596","2014-10-31T02:58:56.343Z","2014-10-31T03:08:56.343Z"
"","","","","","","10.280335648148151","2014-10-31T02:46:54.568Z","2014-10-31T02:56:54.568Z"
"","","","","","","10.035333333333336","2014-10-31T02:34:55.301Z","2014-10-31T02:44:55.301Z"
"","","","","","","9.780083333333335","2014-10-31T02:22:46.468Z","2014-10-31T02:32:46.468Z"
"","","","","","","9.527510416666669","2014-10-31T02:10:41.999Z","2014-10-31T02:20:41.999Z"
"","","","","","","9.27950115740741","2014-10-31T01:58:39.370Z","2014-10-31T02:08:39.370Z"
"","","","","","","9.029373842592594","2014-10-31T01:46:35.226Z","2014-10-31T01:56:35.226Z"
"","","","","","","8.779736111111113","2014-10-31T01:34:30.430Z","2014-10-31T01:44:30.430Z"
"","","","","","","8.521760416666668","2014-10-31T01:22:19.126Z","2014-10-31T01:32:19.126Z"
"","","","","","","8.267988425925926","2014-10-31T01:10:10.877Z","2014-10-31T01:20:10.877Z"
"","","","","","","8.008072916666666","2014-10-31T00:57:55.707Z","2014-10-31T01:07:55.707Z"
"","","","","","","7.755579861111111","2014-10-31T00:45:48.883Z","2014-10-31T00:55:48.883Z"
"","","","","","","7.508456018518519","2014-10-31T00:33:47.506Z","2014-10-31T00:43:47.506Z"
"","","","","","","7.250564814814815","2014-10-31T00:21:34.709Z","2014-10-31T00:31:34.709Z"
"","","","","","","6.993459490740741","2014-10-31T00:09:22.985Z","2014-10-31T00:19:22.985Z"
"","","","","","","6.729795138888889","2014-10-30T23:57:01.050Z","2014-10-31T00:07:01.050Z"
"","","","","","","6.48047800925926","2014-10-30T23:44:57.536Z","2014-10-30T23:54:57.536Z"
"","","","","","","6.221307870370371","2014-10-30T23:32:44.659Z","2014-10-30T23:42:44.659Z"
"","","","","","","5.963479166666667","2014-10-30T23:20:34.727Z","2014-10-30T23:30:34.727Z"
"","","","","","","5.700435185185185","2014-10-30T23:08:20.604Z","2014-10-30T23:18:20.604Z"
"","","","","","","5.429494212962963","2014-10-30T22:55:49.699Z","2014-10-30T23:05:49.699Z"
"","","","","","","5.169082175925926","2014-10-30T22:43:35.989Z","2014-10-30T22:53:35.989Z"
"","","","","","","4.908297453703703","2014-10-30T22:31:20.995Z","2014-10-30T22:41:20.995Z"
"","","","","","","4.648033564814814","2014-10-30T22:19:04.483Z","2014-10-30T22:29:04.483Z"
"","","","","","","4.3821412037037035","2014-10-30T22:06:47.509Z","2014-10-30T22:16:47.509Z"
"","","","","","","4.121650462962963","2014-10-30T21:54:32.003Z","2014-10-30T22:04:32.003Z"
"","","","","","","3.860976851851852","2014-10-30T21:42:11.939Z","2014-10-30T21:52:11.939Z"
"","","","","","","3.5982106481481484","2014-10-30T21:29:54.601Z","2014-10-30T21:39:54.601Z"
"","","","","","","3.3305983796296297","2014-10-30T21:17:34.405Z","2014-10-30T21:27:34.405Z"
