EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","92","2014-10-31T16:22:14.801Z","2014-10-31T16:25:14.801Z"
"","","","","","","92","2014-10-31T16:17:57.402Z","2014-10-31T16:20:57.402Z"
"","","","","","","92","2014-10-31T16:15:01.523Z","2014-10-31T16:18:01.523Z"
"","","","","","","92","2014-10-31T16:12:21.060Z","2014-10-31T16:15:21.060Z"
"","","","","","","92","2014-10-31T16:09:22.037Z","2014-10-31T16:12:22.037Z"
"","","","","","","92","2014-10-31T16:06:32.676Z","2014-10-31T16:09:32.676Z"
"","","","","","","92","2014-10-31T16:03:06.723Z","2014-10-31T16:06:06.723Z"
"","","","","","","33.41672437169312","2014-10-31T15:40:21.677Z","2014-10-31T15:50:21.677Z"
"","","","","","","33.33436921296296","2014-10-31T15:27:13.401Z","2014-10-31T15:37:13.401Z"
"","","","","","","33.25409308862434","2014-10-31T15:14:31.779Z","2014-10-31T15:24:31.779Z"
"","","","","","","33.171908895502646","2014-10-31T15:01:26.848Z","2014-10-31T15:11:26.848Z"
"","","","","","","33.0921960978836","2014-10-31T14:49:05.562Z","2014-10-31T14:59:05.562Z"
"","","","","","","33.01079530423281","2014-10-31T14:36:25.513Z","2014-10-31T14:46:25.513Z"
"","","","","","","50.85983796296298","2014-10-31T14:25:55.525Z","2014-10-31T14:35:55.525Z"
"","","","","","","50.66765856481483","2014-10-31T14:13:19.802Z","2014-10-31T14:23:19.802Z"
"","","","","","","50.46794270833335","2014-10-31T14:00:28.083Z","2014-10-31T14:10:28.083Z"
"","","","","","","50.275122685185195","2014-10-31T13:48:04.431Z","2014-10-31T13:58:04.431Z"
"","","","","","","50.08413368055557","2014-10-31T13:35:41.017Z","2014-10-31T13:45:41.017Z"
"","","","","","","49.89804918981483","2014-10-31T13:23:27.956Z","2014-10-31T13:33:27.956Z"
"","","","","","","49.70560185185187","2014-10-31T13:11:05.113Z","2014-10-31T13:21:05.113Z"
"","","","","","","49.51371527777779","2014-10-31T12:58:40.916Z","2014-10-31T13:08:40.916Z"
"","","","","","","49.325714120370385","2014-10-31T12:46:25.353Z","2014-10-31T12:56:25.353Z"
"","","","","","","49.13541608796298","2014-10-31T12:34:03.453Z","2014-10-31T12:44:03.453Z"
"","","","","","","48.947428240740756","2014-10-31T12:21:49.944Z","2014-10-31T12:31:49.944Z"
"","","","","","","48.755320601851864","2014-10-31T12:09:19.887Z","2014-10-31T12:19:19.887Z"
"","","","","","","48.55430729166668","2014-10-31T11:56:31.750Z","2014-10-31T12:06:31.750Z"
"","","","","","","48.36090567129631","2014-10-31T11:43:34.883Z","2014-10-31T11:53:34.883Z"
"","","","","","","48.17069328703705","2014-10-31T11:31:10.330Z","2014-10-31T11:41:10.330Z"
"","","","","","","47.9833420138889","2014-10-31T11:18:55.038Z","2014-10-31T11:28:55.038Z"
"","","","","","","47.793947337962976","2014-10-31T11:06:30.981Z","2014-10-31T11:16:30.981Z"
"","","","","","","47.605517361111126","2014-10-31T10:54:07.011Z","2014-10-31T11:04:07.011Z"
"","","","","","","47.408644097222236","2014-10-31T10:41:35.298Z","2014-10-31T10:51:35.298Z"
"","","","","","","47.21512557870372","2014-10-31T10:28:59.045Z","2014-10-31T10:38:59.045Z"
"","","","","","","47.02410416666668","2014-10-31T10:16:39.679Z","2014-10-31T10:26:39.679Z"
"","","","","","","46.834268518518535","2014-10-31T10:04:03.704Z","2014-10-31T10:14:03.704Z"
"","","","","","","46.64031886574076","2014-10-31T09:51:36.635Z","2014-10-31T10:01:36.635Z"
"","","","","","","46.44747974537039","2014-10-31T09:39:05.998Z","2014-10-31T09:49:05.998Z"
"","","","","","","46.255592592592606","2014-10-31T09:26:43.943Z","2014-10-31T09:36:43.943Z"
"","","","","","","46.06166087962964","2014-10-31T09:14:14.216Z","2014-10-31T09:24:14.216Z"
"","","","","","","45.86935069444446","2014-10-31T09:01:50.018Z","2014-10-31T09:11:50.018Z"
"","","","","","","45.68109375000001","2014-10-31T08:49:29.962Z","2014-10-31T08:59:29.962Z"
"","","","","","","45.49008912037038","2014-10-31T08:37:02.420Z","2014-10-31T08:47:02.420Z"
"","","","","","","45.30027199074075","2014-10-31T08:24:44.519Z","2014-10-31T08:34:44.519Z"
"","","","","","","45.10082349537038","2014-10-31T08:12:04.604Z","2014-10-31T08:22:04.604Z"
"","","","","","","44.911132523148154","2014-10-31T07:59:43.991Z","2014-10-31T08:09:43.991Z"
"","","","","","","44.72759722222223","2014-10-31T07:47:38.303Z","2014-10-31T07:57:38.303Z"
"","","","","","","44.53917418981482","2014-10-31T07:35:22.378Z","2014-10-31T07:45:22.378Z"
"","","","","","","44.35310648148149","2014-10-31T07:23:14.084Z","2014-10-31T07:33:14.084Z"
"","","","","","","44.16225347222223","2014-10-31T07:10:51.153Z","2014-10-31T07:20:51.153Z"
"","","","","","","43.97597453703705","2014-10-31T06:58:42.384Z","2014-10-31T07:08:42.384Z"
"","","","","","","43.789936342592604","2014-10-31T06:46:31.452Z","2014-10-31T06:56:31.452Z"
"","","","","","","43.608197916666676","2014-10-31T06:34:28.232Z","2014-10-31T06:44:28.232Z"
"","","","","","","43.42094849537038","2014-10-31T06:22:11.308Z","2014-10-31T06:32:11.308Z"
"","","","","","","43.23201562500001","2014-10-31T06:09:54.350Z","2014-10-31T06:19:54.350Z"
"","","","","","","43.049751157407414","2014-10-31T05:57:53.854Z","2014-10-31T06:07:53.854Z"
"","","","","","","42.86415856481482","2014-10-31T05:45:49.346Z","2014-10-31T05:55:49.346Z"
"","","","","","","42.68064988425927","2014-10-31T05:33:46.568Z","2014-10-31T05:43:46.568Z"
"","","","","","","42.49484664351853","2014-10-31T05:21:37.073Z","2014-10-31T05:31:37.073Z"
"","","","","","","42.310333912037045","2014-10-31T05:09:27.800Z","2014-10-31T05:19:27.800Z"
"","","","","","","42.12696006944445","2014-10-31T04:57:25.105Z","2014-10-31T05:07:25.105Z"
"","","","","","","41.94267881944445","2014-10-31T04:45:17.681Z","2014-10-31T04:55:17.681Z"
"","","","","","","41.759349537037046","2014-10-31T04:33:16.436Z","2014-10-31T04:43:16.436Z"
"","","","","","","41.57466377314816","2014-10-31T04:21:13.948Z","2014-10-31T04:31:13.948Z"
"","","","","","","41.38788599537038","2014-10-31T04:09:02.450Z","2014-10-31T04:19:02.450Z"
"","","","","","","41.20057175925927","2014-10-31T03:56:52.010Z","2014-10-31T04:06:52.010Z"
"","","","","","","41.01525405092593","2014-10-31T03:44:47.365Z","2014-10-31T03:54:47.365Z"
"","","","","","","40.831989004629634","2014-10-31T03:32:46.089Z","2014-10-31T03:42:46.089Z"
"","","","","","","40.64673148148149","2014-10-31T03:20:42.226Z","2014-10-31T03:30:42.226Z"
"","","","","","","40.46255150462964","2014-10-31T03:08:40.234Z","2014-10-31T03:18:40.234Z"
"","","","","","","40.279004050925934","2014-10-31T02:56:40.355Z","2014-10-31T03:06:40.355Z"
"","","","","","","40.09562210648149","2014-10-31T02:44:38.395Z","2014-10-31T02:54:38.395Z"
"","","","","","","39.91420949074075","2014-10-31T02:32:39.167Z","2014-10-31T02:42:39.167Z"
"","","","","","","39.72832523148149","2014-10-31T02:20:30.296Z","2014-10-31T02:30:30.296Z"
