EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","9","2014-10-31T16:22:14.635Z","2014-10-31T16:25:14.635Z"
"","","","","","","9","2014-10-31T16:17:57.237Z","2014-10-31T16:20:57.237Z"
"","","","","","","9","2014-10-31T16:15:01.558Z","2014-10-31T16:18:01.558Z"
"","","","","","","9","2014-10-31T16:12:20.990Z","2014-10-31T16:15:20.990Z"
"","","","","","","9","2014-10-31T16:09:22.122Z","2014-10-31T16:12:22.122Z"
"","","","","","","9","2014-10-31T16:06:32.715Z","2014-10-31T16:09:32.715Z"
"","","","","","","9","2014-10-31T16:03:06.867Z","2014-10-31T16:06:06.867Z"
"","","","","","","32.519274691358035","2014-10-31T15:39:21.076Z","2014-10-31T15:49:21.076Z"
"","","","","","","32.415369405864205","2014-10-31T15:26:12.787Z","2014-10-31T15:36:12.787Z"
"","","","","","","32.3134419367284","2014-10-31T15:13:31.167Z","2014-10-31T15:23:31.167Z"
"","","","","","","32.21112847222223","2014-10-31T15:00:26.258Z","2014-10-31T15:10:26.258Z"
"","","","","","","32.109804976851855","2014-10-31T14:48:04.956Z","2014-10-31T14:58:04.956Z"
"","","","","","","32.00677777777778","2014-10-31T14:35:24.926Z","2014-10-31T14:45:24.926Z"
"","","","","","","62.64967476851852","2014-10-31T14:22:24.894Z","2014-10-31T14:32:24.894Z"
"","","","","","","62.55712712191358","2014-10-31T14:09:49.221Z","2014-10-31T14:19:49.221Z"
"","","","","","","62.46312885802469","2014-10-31T13:56:57.662Z","2014-10-31T14:06:57.662Z"
"","","","","","","62.36991203703703","2014-10-31T13:44:33.836Z","2014-10-31T13:54:33.836Z"
"","","","","","","62.27695331790123","2014-10-31T13:32:10.463Z","2014-10-31T13:42:10.463Z"
"","","","","","","62.18492187499999","2014-10-31T13:19:57.378Z","2014-10-31T13:29:57.378Z"
"","","","","","","62.09122820216049","2014-10-31T13:07:34.596Z","2014-10-31T13:17:34.596Z"
"","","","","","","61.99848939043209","2014-10-31T12:55:10.338Z","2014-10-31T13:05:10.338Z"
"","","","","","","61.90678993055555","2014-10-31T12:42:54.821Z","2014-10-31T12:52:54.821Z"
"","","","","","","61.81437499999999","2014-10-31T12:30:32.851Z","2014-10-31T12:40:32.851Z"
"","","","","","","61.72194830246913","2014-10-31T12:18:19.408Z","2014-10-31T12:28:19.408Z"
"","","","","","","61.628871334876536","2014-10-31T12:05:49.286Z","2014-10-31T12:15:49.286Z"
"","","","","","","61.53516917438271","2014-10-31T11:53:01.140Z","2014-10-31T12:03:01.140Z"
"","","","","","","61.44226466049382","2014-10-31T11:40:04.277Z","2014-10-31T11:50:04.277Z"
"","","","","","","61.34912654320987","2014-10-31T11:27:39.772Z","2014-10-31T11:37:39.772Z"
"","","","","","","61.25717843364197","2014-10-31T11:15:24.436Z","2014-10-31T11:25:24.436Z"
"","","","","","","61.16532966820987","2014-10-31T11:03:00.408Z","2014-10-31T11:13:00.408Z"
"","","","","","","61.073234760802464","2014-10-31T10:50:36.465Z","2014-10-31T11:00:36.465Z"
"","","","","","","60.980527006172835","2014-10-31T10:38:04.710Z","2014-10-31T10:48:04.710Z"
"","","","","","","60.887030671296294","2014-10-31T10:25:28.528Z","2014-10-31T10:35:28.528Z"
"","","","","","","60.79489814814815","2014-10-31T10:13:09.141Z","2014-10-31T10:23:09.141Z"
"","","","","","","60.70228645833333","2014-10-31T10:00:33.217Z","2014-10-31T10:10:33.217Z"
"","","","","","","60.6092399691358","2014-10-31T09:48:06.210Z","2014-10-31T09:58:06.210Z"
"","","","","","","60.51588599537037","2014-10-31T09:35:35.535Z","2014-10-31T09:45:35.535Z"
"","","","","","","60.423379436728396","2014-10-31T09:23:13.347Z","2014-10-31T09:33:13.347Z"
"","","","","","","60.33046354166667","2014-10-31T09:10:43.675Z","2014-10-31T09:20:43.675Z"
"","","","","","","60.23750790895062","2014-10-31T08:58:19.472Z","2014-10-31T09:08:19.472Z"
"","","","","","","60.14563213734568","2014-10-31T08:45:59.429Z","2014-10-31T08:55:59.429Z"
"","","","","","","60.0527505787037","2014-10-31T08:33:31.889Z","2014-10-31T08:43:31.889Z"
"","","","","","","59.960035686728396","2014-10-31T08:21:13.931Z","2014-10-31T08:31:13.931Z"
"","","","","","","59.865447723765435","2014-10-31T08:08:34.055Z","2014-10-31T08:18:34.055Z"
"","","","","","","59.77297415123457","2014-10-31T07:56:13.392Z","2014-10-31T08:06:13.392Z"
"","","","","","","59.68149710648149","2014-10-31T07:44:07.755Z","2014-10-31T07:54:07.755Z"
"","","","","","","59.58952218364198","2014-10-31T07:31:51.852Z","2014-10-31T07:41:51.852Z"
"","","","","","","59.4976238425926","2014-10-31T07:19:43.633Z","2014-10-31T07:29:43.633Z"
"","","","","","","59.40487075617285","2014-10-31T07:07:20.609Z","2014-10-31T07:17:20.609Z"
"","","","","","","59.31287557870371","2014-10-31T06:55:11.829Z","2014-10-31T07:05:11.829Z"
"","","","","","","59.2208213734568","2014-10-31T06:43:00.922Z","2014-10-31T06:53:00.922Z"
"","","","","","","59.12972299382717","2014-10-31T06:30:57.667Z","2014-10-31T06:40:57.667Z"
"","","","","","","59.03733429783952","2014-10-31T06:18:40.750Z","2014-10-31T06:28:40.750Z"
"","","","","","","58.94502584876545","2014-10-31T06:06:23.828Z","2014-10-31T06:16:23.828Z"
"","","","","","","58.853353202160505","2014-10-31T05:54:23.312Z","2014-10-31T06:04:23.312Z"
"","","","","","","58.76115779320989","2014-10-31T05:42:18.758Z","2014-10-31T05:52:18.758Z"
"","","","","","","58.66930381944446","2014-10-31T05:30:15.944Z","2014-10-31T05:40:15.944Z"
"","","","","","","58.57713503086421","2014-10-31T05:18:06.531Z","2014-10-31T05:28:06.531Z"
"","","","","","","58.4854708719136","2014-10-31T05:05:57.374Z","2014-10-31T05:15:57.374Z"
"","","","","","","58.39395621141977","2014-10-31T04:53:54.566Z","2014-10-31T05:03:54.566Z"
"","","","","","","58.302608217592606","2014-10-31T04:41:47.176Z","2014-10-31T04:51:47.176Z"
"","","","","","","58.21108179012347","2014-10-31T04:29:45.903Z","2014-10-31T04:39:45.903Z"
"","","","","","","58.11977507716051","2014-10-31T04:17:43.463Z","2014-10-31T04:27:43.463Z"
"","","","","","","58.02787654320989","2014-10-31T04:05:31.958Z","2014-10-31T04:15:31.958Z"
"","","","","","","57.93545814043211","2014-10-31T03:53:21.471Z","2014-10-31T04:03:21.471Z"
"","","","","","","57.843615933641985","2014-10-31T03:41:16.838Z","2014-10-31T03:51:16.838Z"
"","","","","","","57.751936921296306","2014-10-31T03:29:15.540Z","2014-10-31T03:39:15.540Z"
"","","","","","","57.65966242283952","2014-10-31T03:17:11.637Z","2014-10-31T03:27:11.637Z"
"","","","","","","57.568050540123465","2014-10-31T03:05:09.643Z","2014-10-31T03:15:09.643Z"
"","","","","","","57.476145254629635","2014-10-31T02:53:09.841Z","2014-10-31T03:03:09.841Z"
"","","","","","","57.384086998456795","2014-10-31T02:41:07.859Z","2014-10-31T02:51:07.859Z"
"","","","","","","57.29300887345679","2014-10-31T02:29:08.622Z","2014-10-31T02:39:08.622Z"
"","","","","","","57.2011350308642","2014-10-31T02:16:59.795Z","2014-10-31T02:26:59.795Z"
"","","","","","","57.109532214506174","2014-10-31T02:04:55.318Z","2014-10-31T02:14:55.318Z"
"","","","","","","57.01766840277778","2014-10-31T01:52:52.721Z","2014-10-31T02:02:52.721Z"
"","","","","","","56.9266294367284","2014-10-31T01:40:48.564Z","2014-10-31T01:50:48.564Z"
"","","","","","","56.83483584104938","2014-10-31T01:28:43.718Z","2014-10-31T01:38:43.718Z"
"","","","","","","56.7425418595679","2014-10-31T01:16:32.362Z","2014-10-31T01:26:32.362Z"
"","","","","","","56.650251543209876","2014-10-31T01:04:24.186Z","2014-10-31T01:14:24.186Z"
"","","","","","","56.557699266975305","2014-10-31T00:52:09.003Z","2014-10-31T01:02:09.003Z"
"","","","","","","56.465900270061724","2014-10-31T00:40:02.346Z","2014-10-31T00:50:02.346Z"
"","","","","","","56.37478626543209","2014-10-31T00:28:00.741Z","2014-10-31T00:38:00.741Z"
"","","","","","","56.28293672839506","2014-10-31T00:15:48.030Z","2014-10-31T00:25:48.030Z"
"","","","","","","56.19087403549382","2014-10-31T00:03:36.319Z","2014-10-31T00:13:36.319Z"
"","","","","","","56.09883236882715","2014-10-30T23:51:14.376Z","2014-10-31T00:01:14.376Z"
"","","","","","","56.007203896604935","2014-10-30T23:39:10.896Z","2014-10-30T23:49:10.896Z"
"","","","","","","55.915282600308636","2014-10-30T23:26:58.015Z","2014-10-30T23:36:58.015Z"
"","","","","","","55.823272762345674","2014-10-30T23:14:48.018Z","2014-10-30T23:24:48.018Z"
"","","","","","","55.72999189814814","2014-10-30T23:02:33.887Z","2014-10-30T23:12:33.887Z"
"","","","","","","55.636525077160485","2014-10-30T22:50:02.886Z","2014-10-30T23:00:02.886Z"
"","","","","","","55.54463753858024","2014-10-30T22:37:49.197Z","2014-10-30T22:47:49.197Z"
"","","","","","","55.45240470679012","2014-10-30T22:25:34.264Z","2014-10-30T22:35:34.264Z"
"","","","","","","55.35980150462962","2014-10-30T22:13:17.825Z","2014-10-30T22:23:17.825Z"
"","","","","","","55.2675680941358","2014-10-30T22:01:00.798Z","2014-10-30T22:11:00.798Z"
"","","","","","","55.17557098765432","2014-10-30T21:48:45.315Z","2014-10-30T21:58:45.315Z"
"","","","","","","55.08280459104938","2014-10-30T21:36:25.214Z","2014-10-30T21:46:25.214Z"
"","","","","","","54.99026292438271","2014-10-30T21:24:07.981Z","2014-10-30T21:34:07.981Z"
"","","","","","","54.897562885802465","2014-10-30T21:11:47.821Z","2014-10-30T21:21:47.821Z"
"","","","","","","54.80496296296296","2014-10-30T20:59:31.854Z","2014-10-30T21:09:31.854Z"
"","","","","","","54.71104648919753","2014-10-30T20:47:03.123Z","2014-10-30T20:57:03.123Z"
"","","","","","","54.61922704475308","2014-10-30T20:34:57.068Z","2014-10-30T20:44:57.068Z"
"","","","","","","54.52503491512345","2014-10-30T20:22:25.083Z","2014-10-30T20:32:25.083Z"
"","","","","","","54.43157503858024","2014-10-30T20:09:54.067Z","2014-10-30T20:19:54.067Z"
"","","","","","","54.336499228395056","2014-10-30T19:57:20.056Z","2014-10-30T20:07:20.056Z"
"","","","","","","54.24443962191357","2014-10-30T19:44:59.902Z","2014-10-30T19:54:59.902Z"
"","","","","","","54.151550733024685","2014-10-30T19:32:39.117Z","2014-10-30T19:42:39.117Z"
"","","","","","","54.058899884259255","2014-10-30T19:20:11.603Z","2014-10-30T19:30:11.603Z"
"","","","","","","53.96605979938271","2014-10-30T19:07:56.747Z","2014-10-30T19:17:56.747Z"
"","","","","","","53.87309972993827","2014-10-30T18:55:28.712Z","2014-10-30T19:05:28.712Z"
"","","","","","","53.77995543981481","2014-10-30T18:43:00.548Z","2014-10-30T18:53:00.548Z"
"","","","","","","53.68667515432099","2014-10-30T18:30:37.553Z","2014-10-30T18:40:37.553Z"
"","","","","","","53.59383564814815","2014-10-30T18:18:01.881Z","2014-10-30T18:28:01.881Z"
"","","","","","","53.50091859567902","2014-10-30T18:05:38.985Z","2014-10-30T18:15:38.985Z"
"","","","","","","53.407766010802476","2014-10-30T17:53:04.007Z","2014-10-30T18:03:04.007Z"
"","","","","","","53.314389274691365","2014-10-30T17:40:36.351Z","2014-10-30T17:50:36.351Z"
"","","","","","","53.22145158179013","2014-10-30T17:28:10.461Z","2014-10-30T17:38:10.461Z"
"","","","","","","53.1274949845679","2014-10-30T17:15:40.290Z","2014-10-30T17:25:40.290Z"
"","","","","","","53.034557484567905","2014-10-30T17:03:19.326Z","2014-10-30T17:13:19.326Z"
"","","","","","","52.940900655864205","2014-10-30T16:50:37.122Z","2014-10-30T17:00:37.122Z"
"","","","","","","52.84849729938272","2014-10-30T16:38:06.910Z","2014-10-30T16:48:06.910Z"
"","","","","","","52.75572299382716","2014-10-30T16:25:41.507Z","2014-10-30T16:35:41.507Z"
