EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","94","2014-10-31T16:22:14.723Z","2014-10-31T16:25:14.723Z"
"","","","","","","94","2014-10-31T16:17:57.346Z","2014-10-31T16:20:57.346Z"
"","","","","","","94","2014-10-31T16:15:01.335Z","2014-10-31T16:18:01.335Z"
"","","","","","","94","2014-10-31T16:12:20.925Z","2014-10-31T16:15:20.925Z"
"","","","","","","94","2014-10-31T16:09:22.073Z","2014-10-31T16:12:22.073Z"
"","","","","","","94","2014-10-31T16:06:32.619Z","2014-10-31T16:09:32.619Z"
"","","","","","","94","2014-10-31T16:03:07.070Z","2014-10-31T16:06:07.070Z"
"","","","","","","45.16888359788359","2014-10-31T15:33:56.501Z","2014-10-31T15:43:56.501Z"
"","","","","","","45.133393022486764","2014-10-31T15:21:14.892Z","2014-10-31T15:31:14.892Z"
"","","","","","","45.09571428571428","2014-10-31T15:08:09.943Z","2014-10-31T15:18:09.943Z"
"","","","","","","45.06395982142857","2014-10-31T14:55:48.592Z","2014-10-31T15:05:48.592Z"
"","","","","","","45.02876504629629","2014-10-31T14:43:08.607Z","2014-10-31T14:53:08.607Z"
"","","","","","","9.817153549382722","2014-10-31T14:22:51.645Z","2014-10-31T14:32:51.645Z"
"","","","","","","9.72859394290124","2014-10-31T14:10:15.974Z","2014-10-31T14:20:15.974Z"
"","","","","","","9.637918595679018","2014-10-31T13:57:24.409Z","2014-10-31T14:07:24.409Z"
"","","","","","","9.548411265432104","2014-10-31T13:45:00.586Z","2014-10-31T13:55:00.586Z"
"","","","","","","9.45933506944445","2014-10-31T13:32:37.197Z","2014-10-31T13:42:37.197Z"
"","","","","","","9.370855324074078","2014-10-31T13:20:24.119Z","2014-10-31T13:30:24.119Z"
"","","","","","","9.280940393518524","2014-10-31T13:08:01.316Z","2014-10-31T13:18:01.316Z"
"","","","","","","9.191961805555561","2014-10-31T12:55:37.078Z","2014-10-31T13:05:37.078Z"
"","","","","","","9.10421894290124","2014-10-31T12:43:21.548Z","2014-10-31T12:53:21.548Z"
"","","","","","","9.015629629629634","2014-10-31T12:30:59.594Z","2014-10-31T12:40:59.594Z"
"","","","","","","8.927003472222227","2014-10-31T12:18:46.140Z","2014-10-31T12:28:46.140Z"
"","","","","","","8.837540895061732","2014-10-31T12:06:16.028Z","2014-10-31T12:16:16.028Z"
"","","","","","","8.747134452160498","2014-10-31T11:53:27.883Z","2014-10-31T12:03:27.883Z"
"","","","","","","8.657826195987658","2014-10-31T11:40:31.014Z","2014-10-31T11:50:31.014Z"
"","","","","","","8.568521990740745","2014-10-31T11:28:06.526Z","2014-10-31T11:38:06.526Z"
