EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","22","2014-10-31T16:22:14.754Z","2014-10-31T16:25:14.754Z"
"","","","","","","22","2014-10-31T16:17:57.469Z","2014-10-31T16:20:57.469Z"
"","","","","","","22","2014-10-31T16:15:01.360Z","2014-10-31T16:18:01.360Z"
"","","","","","","22","2014-10-31T16:12:20.877Z","2014-10-31T16:15:20.877Z"
"","","","","","","22","2014-10-31T16:09:22.032Z","2014-10-31T16:12:22.032Z"
"","","","","","","22","2014-10-31T16:06:32.661Z","2014-10-31T16:09:32.661Z"
"","","","","","","22","2014-10-31T16:03:07.060Z","2014-10-31T16:06:07.060Z"
"","","","","","","11.426263695987654","2014-10-31T15:42:03.965Z","2014-10-31T15:52:03.965Z"
"","","","","","","11.342639081790123","2014-10-31T15:28:55.701Z","2014-10-31T15:38:55.701Z"
"","","","","","","11.261343557098765","2014-10-31T15:16:14.087Z","2014-10-31T15:26:14.087Z"
"","","","","","","11.178015239197531","2014-10-31T15:03:09.129Z","2014-10-31T15:13:09.129Z"
"","","","","","","11.099350694444444","2014-10-31T14:50:47.834Z","2014-10-31T15:00:47.834Z"
"","","","","","","11.017967978395061","2014-10-31T14:38:07.793Z","2014-10-31T14:48:07.793Z"
"","","","","","","3.00109056712963","2014-10-31T14:24:50.663Z","2014-10-31T14:34:50.663Z"
"","","","","","","2.8916857638888893","2014-10-31T14:12:14.980Z","2014-10-31T14:22:14.980Z"
"","","","","","","2.7795295138888894","2014-10-31T13:59:23.328Z","2014-10-31T14:09:23.328Z"
"","","","","","","2.66979369212963","2014-10-31T13:46:59.581Z","2014-10-31T13:56:59.581Z"
"","","","","","","2.560962962962963","2014-10-31T13:34:36.182Z","2014-10-31T13:44:36.182Z"
"","","","","","","2.453871527777778","2014-10-31T13:22:23.106Z","2014-10-31T13:32:23.106Z"
"","","","","","","2.3435888310185184","2014-10-31T13:10:00.277Z","2014-10-31T13:20:00.277Z"
"","","","","","","2.234794849537037","2014-10-31T12:57:36.066Z","2014-10-31T13:07:36.066Z"
"","","","","","","2.127203125","2014-10-31T12:45:20.513Z","2014-10-31T12:55:20.513Z"
"","","","","","","2.018331886574074","2014-10-31T12:32:58.587Z","2014-10-31T12:42:58.587Z"
"","","","","","","1.9112635995370368","2014-10-31T12:20:45.092Z","2014-10-31T12:30:45.092Z"
"","","","","","","1.8015176504629629","2014-10-31T12:08:15.026Z","2014-10-31T12:18:15.026Z"
"","","","","","","1.6888547453703702","2014-10-31T11:55:26.867Z","2014-10-31T12:05:26.867Z"
"","","","","","","1.5800251736111108","2014-10-31T11:42:30.028Z","2014-10-31T11:52:30.028Z"
"","","","","","","1.4711724537037034","2014-10-31T11:30:05.503Z","2014-10-31T11:40:05.503Z"
"","","","","","","1.36447974537037","2014-10-31T11:17:50.209Z","2014-10-31T11:27:50.209Z"
"","","","","","","1.2560885416666665","2014-10-31T11:05:26.122Z","2014-10-31T11:15:26.122Z"
"","","","","","","1.1484013310185184","2014-10-31T10:53:02.184Z","2014-10-31T11:03:02.184Z"
"","","","","","","1.0377390046296295","2014-10-31T10:40:30.436Z","2014-10-31T10:50:30.436Z"
"","","","","","","0.9267063078703703","2014-10-31T10:27:54.212Z","2014-10-31T10:37:54.212Z"
"","","","","","","0.8182534722222222","2014-10-31T10:15:34.818Z","2014-10-31T10:25:34.818Z"
"","","","","","","0.7098249421296297","2014-10-31T10:02:58.860Z","2014-10-31T10:12:58.860Z"
"","","","","","","0.6004169560185185","2014-10-31T09:50:31.802Z","2014-10-31T10:00:31.802Z"
"","","","","","","0.4903093171296296","2014-10-31T09:38:01.164Z","2014-10-31T09:48:01.164Z"
"","","","","","","0.3813628472222222","2014-10-31T09:25:39.091Z","2014-10-31T09:35:39.091Z"
"","","","","","","0.2706898148148148","2014-10-31T09:13:09.371Z","2014-10-31T09:23:09.371Z"
"","","","","","","0.16227546296296297","2014-10-31T09:00:45.169Z","2014-10-31T09:10:45.169Z"
