EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","15.0","2014-10-31T16:22:14.703Z","2014-10-31T16:25:14.703Z"
"","","","","","","16.0","2014-10-31T16:17:57.464Z","2014-10-31T16:20:57.464Z"
"","","","","","","16.0","2014-10-31T16:15:01.513Z","2014-10-31T16:18:01.513Z"
"","","","","","","16.0","2014-10-31T16:12:20.920Z","2014-10-31T16:15:20.920Z"
"","","","","","","16.0","2014-10-31T16:09:22.060Z","2014-10-31T16:12:22.060Z"
"","","","","","","16.0","2014-10-31T16:06:32.561Z","2014-10-31T16:09:32.561Z"
"","","","","","","15.0","2014-10-31T16:03:06.989Z","2014-10-31T16:06:06.989Z"
"","","","","","","16.0","2014-10-31T15:32:41.849Z","2014-10-31T15:42:41.849Z"
"","","","","","","16.0","2014-10-31T15:20:00.220Z","2014-10-31T15:30:00.220Z"
"","","","","","","16.0","2014-10-31T15:06:55.280Z","2014-10-31T15:16:55.280Z"
"","","","","","","16.0","2014-10-31T14:54:33.931Z","2014-10-31T15:04:33.931Z"
"","","","","","","15.0","2014-10-31T14:41:53.943Z","2014-10-31T14:51:53.943Z"
"","","","","","","16.0","2014-10-31T14:20:33.455Z","2014-10-31T14:30:33.455Z"
"","","","","","","15.0","2014-10-31T14:07:57.766Z","2014-10-31T14:17:57.766Z"
"","","","","","","15.0","2014-10-31T13:55:06.213Z","2014-10-31T14:05:06.213Z"
"","","","","","","15.0","2014-10-31T13:42:42.424Z","2014-10-31T13:52:42.424Z"
"","","","","","","15.0","2014-10-31T13:30:19.011Z","2014-10-31T13:40:19.011Z"
"","","","","","","15.0","2014-10-31T13:18:06.015Z","2014-10-31T13:28:06.015Z"
"","","","","","","15.0","2014-10-31T13:05:43.157Z","2014-10-31T13:15:43.157Z"
"","","","","","","14.0","2014-10-31T12:53:18.920Z","2014-10-31T13:03:18.920Z"
"","","","","","","15.0","2014-10-31T12:41:03.419Z","2014-10-31T12:51:03.419Z"
"","","","","","","14.0","2014-10-31T12:28:41.451Z","2014-10-31T12:38:41.451Z"
"","","","","","","14.0","2014-10-31T12:16:28.009Z","2014-10-31T12:26:28.009Z"
"","","","","","","14.0","2014-10-31T12:03:57.868Z","2014-10-31T12:13:57.868Z"
"","","","","","","12.0","2014-10-31T11:51:09.713Z","2014-10-31T12:01:09.713Z"
"","","","","","","12.0","2014-10-31T11:38:12.794Z","2014-10-31T11:48:12.794Z"
"","","","","","","12.0","2014-10-31T11:25:48.348Z","2014-10-31T11:35:48.348Z"
"","","","","","","12.0","2014-10-31T11:13:32.991Z","2014-10-31T11:23:32.991Z"
"","","","","","","12.0","2014-10-31T11:01:08.970Z","2014-10-31T11:11:08.970Z"
"","","","","","","12.0","2014-10-31T10:48:45.062Z","2014-10-31T10:58:45.062Z"
"","","","","","","12.0","2014-10-31T10:36:13.287Z","2014-10-31T10:46:13.287Z"
"","","","","","","12.0","2014-10-31T10:23:37.101Z","2014-10-31T10:33:37.101Z"
"","","","","","","12.0","2014-10-31T10:11:17.715Z","2014-10-31T10:21:17.715Z"
"","","","","","","12.0","2014-10-31T09:58:41.772Z","2014-10-31T10:08:41.772Z"
"","","","","","","12.0","2014-10-31T09:46:14.806Z","2014-10-31T09:56:14.806Z"
"","","","","","","11.0","2014-10-31T09:33:44.255Z","2014-10-31T09:43:44.255Z"
"","","","","","","11.0","2014-10-31T09:21:21.902Z","2014-10-31T09:31:21.902Z"
"","","","","","","11.0","2014-10-31T09:08:52.288Z","2014-10-31T09:18:52.288Z"
"","","","","","","7.0","2014-10-31T08:56:28.042Z","2014-10-31T09:06:28.042Z"
"","","","","","","7.0","2014-10-31T08:44:08.015Z","2014-10-31T08:54:08.015Z"
"","","","","","","7.0","2014-10-31T08:31:40.481Z","2014-10-31T08:41:40.481Z"
"","","","","","","5.0","2014-10-31T08:19:22.553Z","2014-10-31T08:29:22.553Z"
"","","","","","","7.0","2014-10-31T08:06:42.650Z","2014-10-31T08:16:42.650Z"
"","","","","","","5.0","2014-10-31T07:54:21.974Z","2014-10-31T08:04:21.974Z"
"","","","","","","6.0","2014-10-31T07:42:16.328Z","2014-10-31T07:52:16.328Z"
"","","","","","","5.0","2014-10-31T07:30:00.397Z","2014-10-31T07:40:00.397Z"
"","","","","","","5.0","2014-10-31T07:17:52.182Z","2014-10-31T07:27:52.182Z"
"","","","","","","6.0","2014-10-31T07:05:29.205Z","2014-10-31T07:15:29.205Z"
"","","","","","","6.0","2014-10-31T06:53:20.404Z","2014-10-31T07:03:20.404Z"
"","","","","","","5.0","2014-10-31T06:41:09.529Z","2014-10-31T06:51:09.529Z"
"","","","","","","5.0","2014-10-31T06:29:06.300Z","2014-10-31T06:39:06.300Z"
"","","","","","","4.0","2014-10-31T06:16:49.392Z","2014-10-31T06:26:49.392Z"
"","","","","","","5.0","2014-10-31T06:04:32.421Z","2014-10-31T06:14:32.421Z"
"","","","","","","5.0","2014-10-31T05:52:31.903Z","2014-10-31T06:02:31.903Z"
"","","","","","","5.0","2014-10-31T05:40:27.355Z","2014-10-31T05:50:27.355Z"
"","","","","","","5.0","2014-10-31T05:28:24.501Z","2014-10-31T05:38:24.501Z"
"","","","","","","5.0","2014-10-31T05:16:15.073Z","2014-10-31T05:26:15.073Z"
"","","","","","","5.0","2014-10-31T05:04:05.952Z","2014-10-31T05:14:05.952Z"
"","","","","","","6.0","2014-10-31T04:52:03.141Z","2014-10-31T05:02:03.141Z"
"","","","","","","6.0","2014-10-31T04:39:55.744Z","2014-10-31T04:49:55.744Z"
"","","","","","","6.0","2014-10-31T04:27:54.509Z","2014-10-31T04:37:54.509Z"
"","","","","","","6.0","2014-10-31T04:15:52.062Z","2014-10-31T04:25:52.062Z"
"","","","","","","6.0","2014-10-31T04:03:40.630Z","2014-10-31T04:13:40.630Z"
"","","","","","","6.0","2014-10-31T03:51:30.090Z","2014-10-31T04:01:30.090Z"
"","","","","","","6.0","2014-10-31T03:39:25.436Z","2014-10-31T03:49:25.436Z"
"","","","","","","6.0","2014-10-31T03:27:24.132Z","2014-10-31T03:37:24.132Z"
"","","","","","","6.0","2014-10-31T03:15:20.188Z","2014-10-31T03:25:20.188Z"
"","","","","","","6.0","2014-10-31T03:03:18.200Z","2014-10-31T03:13:18.200Z"
"","","","","","","6.0","2014-10-31T02:51:18.416Z","2014-10-31T03:01:18.416Z"
"","","","","","","6.0","2014-10-31T02:39:16.447Z","2014-10-31T02:49:16.447Z"
"","","","","","","6.0","2014-10-31T02:27:17.214Z","2014-10-31T02:37:17.214Z"
