EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","15.0","2014-10-31T16:22:14.801Z","2014-10-31T16:25:14.801Z"
"","","","","","","16.0","2014-10-31T16:17:57.286Z","2014-10-31T16:20:57.286Z"
"","","","","","","16.0","2014-10-31T16:15:01.327Z","2014-10-31T16:18:01.327Z"
"","","","","","","15.0","2014-10-31T16:12:21.041Z","2014-10-31T16:15:21.041Z"
"","","","","","","16.0","2014-10-31T16:09:22.177Z","2014-10-31T16:12:22.177Z"
"","","","","","","16.0","2014-10-31T16:06:32.722Z","2014-10-31T16:09:32.722Z"
"","","","","","","15.0","2014-10-31T16:03:07.075Z","2014-10-31T16:06:07.075Z"
"","","","","","","16.0","2014-10-31T15:38:29.391Z","2014-10-31T15:48:29.391Z"
"","","","","","","16.0","2014-10-31T15:25:21.127Z","2014-10-31T15:35:21.127Z"
"","","","","","","16.0","2014-10-31T15:12:39.498Z","2014-10-31T15:22:39.498Z"
"","","","","","","16.0","2014-10-31T14:59:34.573Z","2014-10-31T15:09:34.573Z"
"","","","","","","16.0","2014-10-31T14:47:13.262Z","2014-10-31T14:57:13.262Z"
"","","","","","","16.0","2014-10-31T14:34:33.238Z","2014-10-31T14:44:33.238Z"
"","","","","","","15.0","2014-10-31T14:25:19.550Z","2014-10-31T14:35:19.550Z"
"","","","","","","15.0","2014-10-31T14:12:43.862Z","2014-10-31T14:22:43.862Z"
"","","","","","","15.0","2014-10-31T13:59:52.164Z","2014-10-31T14:09:52.164Z"
"","","","","","","15.0","2014-10-31T13:47:28.462Z","2014-10-31T13:57:28.462Z"
"","","","","","","15.0","2014-10-31T13:35:05.065Z","2014-10-31T13:45:05.065Z"
"","","","","","","15.0","2014-10-31T13:22:51.990Z","2014-10-31T13:32:51.990Z"
"","","","","","","15.0","2014-10-31T13:10:29.151Z","2014-10-31T13:20:29.151Z"
"","","","","","","14.0","2014-10-31T12:58:04.944Z","2014-10-31T13:08:04.944Z"
"","","","","","","14.0","2014-10-31T12:45:49.396Z","2014-10-31T12:55:49.396Z"
"","","","","","","14.0","2014-10-31T12:33:27.480Z","2014-10-31T12:43:27.480Z"
"","","","","","","14.0","2014-10-31T12:21:13.980Z","2014-10-31T12:31:13.980Z"
"","","","","","","13.0","2014-10-31T12:08:43.923Z","2014-10-31T12:18:43.923Z"
"","","","","","","14.0","2014-10-31T11:55:55.760Z","2014-10-31T12:05:55.760Z"
"","","","","","","13.0","2014-10-31T11:42:58.914Z","2014-10-31T11:52:58.914Z"
"","","","","","","12.0","2014-10-31T11:30:34.376Z","2014-10-31T11:40:34.376Z"
"","","","","","","12.0","2014-10-31T11:18:19.079Z","2014-10-31T11:28:19.079Z"
"","","","","","","12.0","2014-10-31T11:05:55.006Z","2014-10-31T11:15:55.006Z"
"","","","","","","12.0","2014-10-31T10:53:31.066Z","2014-10-31T11:03:31.066Z"
"","","","","","","12.0","2014-10-31T10:40:59.331Z","2014-10-31T10:50:59.331Z"
"","","","","","","12.0","2014-10-31T10:28:23.083Z","2014-10-31T10:38:23.083Z"
"","","","","","","12.0","2014-10-31T10:16:03.714Z","2014-10-31T10:26:03.714Z"
"","","","","","","11.0","2014-10-31T10:03:27.740Z","2014-10-31T10:13:27.740Z"
"","","","","","","11.0","2014-10-31T09:51:00.682Z","2014-10-31T10:01:00.682Z"
"","","","","","","11.0","2014-10-31T09:38:30.037Z","2014-10-31T09:48:30.037Z"
"","","","","","","11.0","2014-10-31T09:26:07.974Z","2014-10-31T09:36:07.974Z"
"","","","","","","7.0","2014-10-31T09:13:38.250Z","2014-10-31T09:23:38.250Z"
"","","","","","","9.0","2014-10-31T09:01:14.049Z","2014-10-31T09:11:14.049Z"
"","","","","","","9.0","2014-10-31T08:48:53.999Z","2014-10-31T08:58:53.999Z"
"","","","","","","5.0","2014-10-31T08:36:26.467Z","2014-10-31T08:46:26.467Z"
"","","","","","","5.0","2014-10-31T08:24:08.549Z","2014-10-31T08:34:08.549Z"
"","","","","","","5.0","2014-10-31T08:11:28.633Z","2014-10-31T08:21:28.633Z"
"","","","","","","5.0","2014-10-31T07:59:08.030Z","2014-10-31T08:09:08.030Z"
"","","","","","","5.0","2014-10-31T07:47:02.346Z","2014-10-31T07:57:02.346Z"
"","","","","","","6.0","2014-10-31T07:34:46.430Z","2014-10-31T07:44:46.430Z"
"","","","","","","6.0","2014-10-31T07:22:38.162Z","2014-10-31T07:32:38.162Z"
"","","","","","","5.0","2014-10-31T07:10:15.183Z","2014-10-31T07:20:15.183Z"
"","","","","","","5.0","2014-10-31T06:58:06.440Z","2014-10-31T07:08:06.440Z"
"","","","","","","5.0","2014-10-31T06:45:55.489Z","2014-10-31T06:55:55.489Z"
"","","","","","","5.0","2014-10-31T06:33:52.270Z","2014-10-31T06:43:52.270Z"
"","","","","","","4.0","2014-10-31T06:21:35.332Z","2014-10-31T06:31:35.332Z"
"","","","","","","4.0","2014-10-31T06:09:18.398Z","2014-10-31T06:19:18.398Z"
"","","","","","","4.0","2014-10-31T05:57:17.885Z","2014-10-31T06:07:17.885Z"
"","","","","","","5.0","2014-10-31T05:45:13.373Z","2014-10-31T05:55:13.373Z"
"","","","","","","5.0","2014-10-31T05:33:10.607Z","2014-10-31T05:43:10.607Z"
"","","","","","","5.0","2014-10-31T05:21:01.137Z","2014-10-31T05:31:01.137Z"
"","","","","","","5.0","2014-10-31T05:08:51.896Z","2014-10-31T05:18:51.896Z"
"","","","","","","5.0","2014-10-31T04:56:49.150Z","2014-10-31T05:06:49.150Z"
"","","","","","","6.0","2014-10-31T04:44:41.738Z","2014-10-31T04:54:41.738Z"
"","","","","","","6.0","2014-10-31T04:32:40.489Z","2014-10-31T04:42:40.489Z"
"","","","","","","6.0","2014-10-31T04:20:38.000Z","2014-10-31T04:30:38.000Z"
"","","","","","","6.0","2014-10-31T04:08:26.507Z","2014-10-31T04:18:26.507Z"
"","","","","","","6.0","2014-10-31T03:56:16.041Z","2014-10-31T04:06:16.041Z"
"","","","","","","6.0","2014-10-31T03:44:11.417Z","2014-10-31T03:54:11.417Z"
"","","","","","","6.0","2014-10-31T03:32:10.123Z","2014-10-31T03:42:10.123Z"
"","","","","","","6.0","2014-10-31T03:20:06.258Z","2014-10-31T03:30:06.258Z"
"","","","","","","6.0","2014-10-31T03:08:04.301Z","2014-10-31T03:18:04.301Z"
"","","","","","","6.0","2014-10-31T02:56:04.426Z","2014-10-31T03:06:04.426Z"
"","","","","","","6.0","2014-10-31T02:44:02.448Z","2014-10-31T02:54:02.448Z"
"","","","","","","6.0","2014-10-31T02:32:03.225Z","2014-10-31T02:42:03.225Z"
"","","","","","","6.0","2014-10-31T02:19:54.342Z","2014-10-31T02:29:54.342Z"
"","","","","","","6.0","2014-10-31T02:07:49.914Z","2014-10-31T02:17:49.914Z"
"","","","","","","6.0","2014-10-31T01:55:47.292Z","2014-10-31T02:05:47.292Z"
"","","","","","","6.0","2014-10-31T01:43:43.133Z","2014-10-31T01:53:43.133Z"
"","","","","","","6.0","2014-10-31T01:31:38.281Z","2014-10-31T01:41:38.281Z"
"","","","","","","6.0","2014-10-31T01:19:26.989Z","2014-10-31T01:29:26.989Z"
"","","","","","","6.0","2014-10-31T01:07:18.843Z","2014-10-31T01:17:18.843Z"
"","","","","","","6.0","2014-10-31T00:55:03.643Z","2014-10-31T01:05:03.643Z"
"","","","","","","6.0","2014-10-31T00:42:56.955Z","2014-10-31T00:52:56.955Z"
"","","","","","","6.0","2014-10-31T00:30:55.355Z","2014-10-31T00:40:55.355Z"
"","","","","","","6.0","2014-10-31T00:18:42.631Z","2014-10-31T00:28:42.631Z"
"","","","","","","7.0","2014-10-31T00:06:30.891Z","2014-10-31T00:16:30.891Z"
"","","","","","","6.0","2014-10-30T23:54:08.948Z","2014-10-31T00:04:08.948Z"
"","","","","","","7.0","2014-10-30T23:42:05.471Z","2014-10-30T23:52:05.471Z"
"","","","","","","7.0","2014-10-30T23:29:52.561Z","2014-10-30T23:39:52.561Z"
"","","","","","","7.0","2014-10-30T23:17:42.583Z","2014-10-30T23:27:42.583Z"
"","","","","","","7.0","2014-10-30T23:05:28.480Z","2014-10-30T23:15:28.480Z"
"","","","","","","7.0","2014-10-30T22:52:57.508Z","2014-10-30T23:02:57.508Z"
"","","","","","","7.0","2014-10-30T22:40:43.862Z","2014-10-30T22:50:43.862Z"
"","","","","","","7.0","2014-10-30T22:28:28.920Z","2014-10-30T22:38:28.920Z"
"","","","","","","7.0","2014-10-30T22:16:12.373Z","2014-10-30T22:26:12.373Z"
"","","","","","","8.0","2014-10-30T22:03:55.381Z","2014-10-30T22:13:55.381Z"
"","","","","","","8.0","2014-10-30T21:51:39.922Z","2014-10-30T22:01:39.922Z"
"","","","","","","8.0","2014-10-30T21:39:19.798Z","2014-10-30T21:49:19.798Z"
"","","","","","","9.0","2014-10-30T21:27:02.545Z","2014-10-30T21:37:02.545Z"
"","","","","","","9.0","2014-10-30T21:14:42.357Z","2014-10-30T21:24:42.357Z"
"","","","","","","9.0","2014-10-30T21:02:26.460Z","2014-10-30T21:12:26.460Z"
"","","","","","","9.0","2014-10-30T20:49:57.609Z","2014-10-30T20:59:57.609Z"
"","","","","","","9.0","2014-10-30T20:37:51.608Z","2014-10-30T20:47:51.608Z"
"","","","","","","9.0","2014-10-30T20:25:19.678Z","2014-10-30T20:35:19.678Z"
"","","","","","","9.0","2014-10-30T20:12:48.687Z","2014-10-30T20:22:48.687Z"
"","","","","","","9.0","2014-10-30T20:00:14.618Z","2014-10-30T20:10:14.618Z"
"","","","","","","9.0","2014-10-30T19:47:54.461Z","2014-10-30T19:57:54.461Z"
"","","","","","","9.0","2014-10-30T19:35:33.701Z","2014-10-30T19:45:33.701Z"
"","","","","","","10.0","2014-10-30T19:23:06.223Z","2014-10-30T19:33:06.223Z"
"","","","","","","10.0","2014-10-30T19:10:51.365Z","2014-10-30T19:20:51.365Z"
"","","","","","","11.0","2014-10-30T18:58:23.314Z","2014-10-30T19:08:23.314Z"
"","","","","","","11.0","2014-10-30T18:45:55.173Z","2014-10-30T18:55:55.173Z"
"","","","","","","11.0","2014-10-30T18:33:32.095Z","2014-10-30T18:43:32.095Z"
"","","","","","","11.0","2014-10-30T18:20:56.452Z","2014-10-30T18:30:56.452Z"
"","","","","","","11.0","2014-10-30T18:08:33.379Z","2014-10-30T18:18:33.379Z"
"","","","","","","12.0","2014-10-30T17:55:58.594Z","2014-10-30T18:05:58.594Z"
"","","","","","","12.0","2014-10-30T17:43:30.938Z","2014-10-30T17:53:30.938Z"
"","","","","","","12.0","2014-10-30T17:31:05.063Z","2014-10-30T17:41:05.063Z"
"","","","","","","12.0","2014-10-30T17:18:34.823Z","2014-10-30T17:28:34.823Z"
"","","","","","","13.0","2014-10-30T17:06:13.895Z","2014-10-30T17:16:13.895Z"
"","","","","","","14.0","2014-10-30T16:53:31.700Z","2014-10-30T17:03:31.700Z"
"","","","","","","14.0","2014-10-30T16:41:01.496Z","2014-10-30T16:51:01.496Z"
"","","","","","","14.0","2014-10-30T16:28:36.121Z","2014-10-30T16:38:36.121Z"
