EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","15.0","2014-10-31T16:22:14.647Z","2014-10-31T16:25:14.647Z"
"","","","","","","16.0","2014-10-31T16:17:57.461Z","2014-10-31T16:20:57.461Z"
"","","","","","","16.0","2014-10-31T16:15:01.412Z","2014-10-31T16:18:01.412Z"
"","","","","","","16.0","2014-10-31T16:12:20.934Z","2014-10-31T16:15:20.934Z"
"","","","","","","16.0","2014-10-31T16:09:22.203Z","2014-10-31T16:12:22.203Z"
"","","","","","","16.0","2014-10-31T16:06:32.607Z","2014-10-31T16:09:32.607Z"
"","","","","","","15.0","2014-10-31T16:03:06.810Z","2014-10-31T16:06:06.810Z"
"","","","","","","16.0","2014-10-31T15:41:07.133Z","2014-10-31T15:51:07.133Z"
"","","","","","","16.0","2014-10-31T15:27:58.854Z","2014-10-31T15:37:58.854Z"
"","","","","","","16.0","2014-10-31T15:15:17.225Z","2014-10-31T15:25:17.225Z"
"","","","","","","16.0","2014-10-31T15:02:12.281Z","2014-10-31T15:12:12.281Z"
"","","","","","","16.0","2014-10-31T14:49:51.009Z","2014-10-31T14:59:51.009Z"
"","","","","","","16.0","2014-10-31T14:37:10.945Z","2014-10-31T14:47:10.945Z"
"","","","","","","15.0","2014-10-31T14:28:34.959Z","2014-10-31T14:38:34.959Z"
"","","","","","","15.0","2014-10-31T14:15:59.147Z","2014-10-31T14:25:59.147Z"
"","","","","","","15.0","2014-10-31T14:03:07.448Z","2014-10-31T14:13:07.448Z"
"","","","","","","15.0","2014-10-31T13:50:43.944Z","2014-10-31T14:00:43.944Z"
"","","","","","","15.0","2014-10-31T13:38:20.479Z","2014-10-31T13:48:20.479Z"
"","","","","","","15.0","2014-10-31T13:26:07.406Z","2014-10-31T13:36:07.406Z"
"","","","","","","15.0","2014-10-31T13:13:44.552Z","2014-10-31T13:23:44.552Z"
"","","","","","","15.0","2014-10-31T13:01:20.392Z","2014-10-31T13:11:20.392Z"
"","","","","","","14.0","2014-10-31T12:49:04.816Z","2014-10-31T12:59:04.816Z"
"","","","","","","14.0","2014-10-31T12:36:42.927Z","2014-10-31T12:46:42.927Z"
"","","","","","","14.0","2014-10-31T12:24:29.448Z","2014-10-31T12:34:29.448Z"
"","","","","","","14.0","2014-10-31T12:11:59.384Z","2014-10-31T12:21:59.384Z"
"","","","","","","14.0","2014-10-31T11:59:11.230Z","2014-10-31T12:09:11.230Z"
"","","","","","","14.0","2014-10-31T11:46:14.353Z","2014-10-31T11:56:14.353Z"
"","","","","","","12.0","2014-10-31T11:33:49.756Z","2014-10-31T11:43:49.756Z"
"","","","","","","12.0","2014-10-31T11:21:34.499Z","2014-10-31T11:31:34.499Z"
"","","","","","","12.0","2014-10-31T11:09:10.475Z","2014-10-31T11:19:10.475Z"
"","","","","","","12.0","2014-10-31T10:56:46.498Z","2014-10-31T11:06:46.498Z"
"","","","","","","12.0","2014-10-31T10:44:14.745Z","2014-10-31T10:54:14.745Z"
"","","","","","","12.0","2014-10-31T10:31:38.487Z","2014-10-31T10:41:38.487Z"
"","","","","","","12.0","2014-10-31T10:19:19.083Z","2014-10-31T10:29:19.083Z"
"","","","","","","12.0","2014-10-31T10:06:43.158Z","2014-10-31T10:16:43.158Z"
"","","","","","","12.0","2014-10-31T09:54:16.069Z","2014-10-31T10:04:16.069Z"
"","","","","","","9.0","2014-10-31T09:41:45.468Z","2014-10-31T09:51:45.468Z"
"","","","","","","9.0","2014-10-31T09:29:23.479Z","2014-10-31T09:39:23.479Z"
"","","","","","","9.0","2014-10-31T09:16:53.665Z","2014-10-31T09:26:53.665Z"
"","","","","","","9.0","2014-10-31T09:04:29.451Z","2014-10-31T09:14:29.451Z"
"","","","","","","7.0","2014-10-31T08:52:09.463Z","2014-10-31T09:02:09.463Z"
"","","","","","","7.0","2014-10-31T08:39:41.890Z","2014-10-31T08:49:41.890Z"
"","","","","","","7.0","2014-10-31T08:27:24.021Z","2014-10-31T08:37:24.021Z"
"","","","","","","5.0","2014-10-31T08:14:44.014Z","2014-10-31T08:24:44.014Z"
"","","","","","","5.0","2014-10-31T08:02:23.443Z","2014-10-31T08:12:23.443Z"
"","","","","","","5.0","2014-10-31T07:50:17.659Z","2014-10-31T08:00:17.659Z"
"","","","","","","5.0","2014-10-31T07:38:01.790Z","2014-10-31T07:48:01.790Z"
"","","","","","","5.0","2014-10-31T07:25:53.487Z","2014-10-31T07:35:53.487Z"
"","","","","","","5.0","2014-10-31T07:13:30.607Z","2014-10-31T07:23:30.607Z"
"","","","","","","5.0","2014-10-31T07:01:21.833Z","2014-10-31T07:11:21.833Z"
"","","","","","","5.0","2014-10-31T06:49:10.875Z","2014-10-31T06:59:10.875Z"
"","","","","","","5.0","2014-10-31T06:37:07.679Z","2014-10-31T06:47:07.679Z"
"","","","","","","5.0","2014-10-31T06:24:50.763Z","2014-10-31T06:34:50.763Z"
"","","","","","","5.0","2014-10-31T06:12:33.785Z","2014-10-31T06:22:33.785Z"
"","","","","","","4.0","2014-10-31T06:00:33.316Z","2014-10-31T06:10:33.316Z"
"","","","","","","5.0","2014-10-31T05:48:28.783Z","2014-10-31T05:58:28.783Z"
"","","","","","","5.0","2014-10-31T05:36:26.036Z","2014-10-31T05:46:26.036Z"
"","","","","","","6.0","2014-10-31T05:24:16.422Z","2014-10-31T05:34:16.422Z"
"","","","","","","5.0","2014-10-31T05:12:07.084Z","2014-10-31T05:22:07.084Z"
"","","","","","","5.0","2014-10-31T05:00:04.575Z","2014-10-31T05:10:04.575Z"
"","","","","","","6.0","2014-10-31T04:47:57.094Z","2014-10-31T04:57:57.094Z"
"","","","","","","6.0","2014-10-31T04:35:55.879Z","2014-10-31T04:45:55.879Z"
"","","","","","","6.0","2014-10-31T04:23:53.386Z","2014-10-31T04:33:53.386Z"
"","","","","","","6.0","2014-10-31T04:11:41.899Z","2014-10-31T04:21:41.899Z"
"","","","","","","6.0","2014-10-31T03:59:31.470Z","2014-10-31T04:09:31.470Z"
"","","","","","","6.0","2014-10-31T03:47:26.845Z","2014-10-31T03:57:26.845Z"
"","","","","","","6.0","2014-10-31T03:35:25.519Z","2014-10-31T03:45:25.519Z"
"","","","","","","6.0","2014-10-31T03:23:21.721Z","2014-10-31T03:33:21.721Z"
"","","","","","","6.0","2014-10-31T03:11:19.580Z","2014-10-31T03:21:19.580Z"
"","","","","","","6.0","2014-10-31T02:59:19.629Z","2014-10-31T03:09:19.629Z"
"","","","","","","6.0","2014-10-31T02:47:17.861Z","2014-10-31T02:57:17.861Z"
"","","","","","","6.0","2014-10-31T02:35:18.611Z","2014-10-31T02:45:18.611Z"
"","","","","","","6.0","2014-10-31T02:23:09.746Z","2014-10-31T02:33:09.746Z"
"","","","","","","6.0","2014-10-31T02:11:05.301Z","2014-10-31T02:21:05.301Z"
"","","","","","","6.0","2014-10-31T01:59:02.660Z","2014-10-31T02:09:02.660Z"
"","","","","","","6.0","2014-10-31T01:46:58.514Z","2014-10-31T01:56:58.514Z"
"","","","","","","6.0","2014-10-31T01:34:53.717Z","2014-10-31T01:44:53.717Z"
"","","","","","","6.0","2014-10-31T01:22:42.411Z","2014-10-31T01:32:42.411Z"
"","","","","","","6.0","2014-10-31T01:10:34.183Z","2014-10-31T01:20:34.183Z"
"","","","","","","6.0","2014-10-31T00:58:18.972Z","2014-10-31T01:08:18.972Z"
"","","","","","","6.0","2014-10-31T00:46:12.148Z","2014-10-31T00:56:12.148Z"
"","","","","","","6.0","2014-10-31T00:34:10.812Z","2014-10-31T00:44:10.812Z"
"","","","","","","6.0","2014-10-31T00:21:57.999Z","2014-10-31T00:31:57.999Z"
"","","","","","","6.0","2014-10-31T00:09:46.272Z","2014-10-31T00:19:46.272Z"
"","","","","","","6.0","2014-10-30T23:57:24.338Z","2014-10-31T00:07:24.338Z"
"","","","","","","7.0","2014-10-30T23:45:20.826Z","2014-10-30T23:55:20.826Z"
"","","","","","","7.0","2014-10-30T23:33:07.972Z","2014-10-30T23:43:07.972Z"
"","","","","","","7.0","2014-10-30T23:20:58.024Z","2014-10-30T23:30:58.024Z"
"","","","","","","7.0","2014-10-30T23:08:43.901Z","2014-10-30T23:18:43.901Z"
"","","","","","","7.0","2014-10-30T22:56:12.989Z","2014-10-30T23:06:12.989Z"
"","","","","","","7.0","2014-10-30T22:43:59.271Z","2014-10-30T22:53:59.271Z"
"","","","","","","7.0","2014-10-30T22:31:44.283Z","2014-10-30T22:41:44.283Z"
"","","","","","","7.0","2014-10-30T22:19:27.785Z","2014-10-30T22:29:27.785Z"
"","","","","","","7.0","2014-10-30T22:07:10.789Z","2014-10-30T22:17:10.789Z"
"","","","","","","7.0","2014-10-30T21:54:55.299Z","2014-10-30T22:04:55.299Z"
"","","","","","","8.0","2014-10-30T21:42:35.224Z","2014-10-30T21:52:35.224Z"
"","","","","","","8.0","2014-10-30T21:30:17.883Z","2014-10-30T21:40:17.883Z"
"","","","","","","9.0","2014-10-30T21:17:57.711Z","2014-10-30T21:27:57.711Z"
"","","","","","","9.0","2014-10-30T21:05:41.825Z","2014-10-30T21:15:41.825Z"
"","","","","","","9.0","2014-10-30T20:53:13.018Z","2014-10-30T21:03:13.018Z"
"","","","","","","9.0","2014-10-30T20:41:07.098Z","2014-10-30T20:51:07.098Z"
"","","","","","","9.0","2014-10-30T20:28:35.138Z","2014-10-30T20:38:35.138Z"
"","","","","","","9.0","2014-10-30T20:16:04.177Z","2014-10-30T20:26:04.177Z"
"","","","","","","9.0","2014-10-30T20:03:30.019Z","2014-10-30T20:13:30.019Z"
"","","","","","","9.0","2014-10-30T19:51:09.887Z","2014-10-30T20:01:09.887Z"
"","","","","","","10.0","2014-10-30T19:38:49.065Z","2014-10-30T19:48:49.065Z"
"","","","","","","10.0","2014-10-30T19:26:21.632Z","2014-10-30T19:36:21.632Z"
"","","","","","","10.0","2014-10-30T19:14:06.752Z","2014-10-30T19:24:06.752Z"
"","","","","","","11.0","2014-10-30T19:01:38.738Z","2014-10-30T19:11:38.738Z"
"","","","","","","11.0","2014-10-30T18:49:10.540Z","2014-10-30T18:59:10.540Z"
"","","","","","","11.0","2014-10-30T18:36:47.425Z","2014-10-30T18:46:47.425Z"
"","","","","","","11.0","2014-10-30T18:24:11.840Z","2014-10-30T18:34:11.840Z"
"","","","","","","11.0","2014-10-30T18:11:48.777Z","2014-10-30T18:21:48.777Z"
"","","","","","","11.0","2014-10-30T17:59:14.062Z","2014-10-30T18:09:14.062Z"
"","","","","","","12.0","2014-10-30T17:46:46.325Z","2014-10-30T17:56:46.325Z"
"","","","","","","12.0","2014-10-30T17:34:20.466Z","2014-10-30T17:44:20.466Z"
"","","","","","","13.0","2014-10-30T17:21:50.243Z","2014-10-30T17:31:50.243Z"
"","","","","","","13.0","2014-10-30T17:09:29.327Z","2014-10-30T17:19:29.327Z"
"","","","","","","14.0","2014-10-30T16:56:47.134Z","2014-10-30T17:06:47.134Z"
"","","","","","","14.0","2014-10-30T16:44:16.915Z","2014-10-30T16:54:16.915Z"
"","","","","","","14.0","2014-10-30T16:31:51.584Z","2014-10-30T16:41:51.584Z"
