EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","16.0","2014-10-31T16:22:14.801Z","2014-10-31T16:25:14.801Z"
"","","","","","","16.0","2014-10-31T16:17:57.402Z","2014-10-31T16:20:57.402Z"
"","","","","","","15.0","2014-10-31T16:15:01.523Z","2014-10-31T16:18:01.523Z"
"","","","","","","16.0","2014-10-31T16:12:21.060Z","2014-10-31T16:15:21.060Z"
"","","","","","","16.0","2014-10-31T16:09:22.037Z","2014-10-31T16:12:22.037Z"
"","","","","","","16.0","2014-10-31T16:06:32.676Z","2014-10-31T16:09:32.676Z"
"","","","","","","15.0","2014-10-31T16:03:06.723Z","2014-10-31T16:06:06.723Z"
"","","","","","","16.0","2014-10-31T15:40:21.677Z","2014-10-31T15:50:21.677Z"
"","","","","","","16.0","2014-10-31T15:27:13.401Z","2014-10-31T15:37:13.401Z"
"","","","","","","16.0","2014-10-31T15:14:31.779Z","2014-10-31T15:24:31.779Z"
"","","","","","","16.0","2014-10-31T15:01:26.848Z","2014-10-31T15:11:26.848Z"
"","","","","","","15.0","2014-10-31T14:49:05.562Z","2014-10-31T14:59:05.562Z"
"","","","","","","15.0","2014-10-31T14:36:25.513Z","2014-10-31T14:46:25.513Z"
"","","","","","","16.0","2014-10-31T14:25:55.525Z","2014-10-31T14:35:55.525Z"
"","","","","","","15.0","2014-10-31T14:13:19.802Z","2014-10-31T14:23:19.802Z"
"","","","","","","15.0","2014-10-31T14:00:28.083Z","2014-10-31T14:10:28.083Z"
"","","","","","","15.0","2014-10-31T13:48:04.431Z","2014-10-31T13:58:04.431Z"
"","","","","","","15.0","2014-10-31T13:35:41.017Z","2014-10-31T13:45:41.017Z"
"","","","","","","15.0","2014-10-31T13:23:27.956Z","2014-10-31T13:33:27.956Z"
"","","","","","","15.0","2014-10-31T13:11:05.113Z","2014-10-31T13:21:05.113Z"
"","","","","","","15.0","2014-10-31T12:58:40.916Z","2014-10-31T13:08:40.916Z"
"","","","","","","15.0","2014-10-31T12:46:25.353Z","2014-10-31T12:56:25.353Z"
"","","","","","","14.0","2014-10-31T12:34:03.453Z","2014-10-31T12:44:03.453Z"
"","","","","","","14.0","2014-10-31T12:21:49.944Z","2014-10-31T12:31:49.944Z"
"","","","","","","14.0","2014-10-31T12:09:19.887Z","2014-10-31T12:19:19.887Z"
"","","","","","","14.0","2014-10-31T11:56:31.750Z","2014-10-31T12:06:31.750Z"
"","","","","","","14.0","2014-10-31T11:43:34.883Z","2014-10-31T11:53:34.883Z"
"","","","","","","12.0","2014-10-31T11:31:10.330Z","2014-10-31T11:41:10.330Z"
"","","","","","","12.0","2014-10-31T11:18:55.038Z","2014-10-31T11:28:55.038Z"
"","","","","","","12.0","2014-10-31T11:06:30.981Z","2014-10-31T11:16:30.981Z"
"","","","","","","12.0","2014-10-31T10:54:07.011Z","2014-10-31T11:04:07.011Z"
"","","","","","","12.0","2014-10-31T10:41:35.298Z","2014-10-31T10:51:35.298Z"
"","","","","","","12.0","2014-10-31T10:28:59.045Z","2014-10-31T10:38:59.045Z"
"","","","","","","12.0","2014-10-31T10:16:39.679Z","2014-10-31T10:26:39.679Z"
"","","","","","","12.0","2014-10-31T10:04:03.704Z","2014-10-31T10:14:03.704Z"
"","","","","","","11.0","2014-10-31T09:51:36.635Z","2014-10-31T10:01:36.635Z"
"","","","","","","11.0","2014-10-31T09:39:05.998Z","2014-10-31T09:49:05.998Z"
"","","","","","","9.0","2014-10-31T09:26:43.943Z","2014-10-31T09:36:43.943Z"
"","","","","","","9.0","2014-10-31T09:14:14.216Z","2014-10-31T09:24:14.216Z"
"","","","","","","9.0","2014-10-31T09:01:50.018Z","2014-10-31T09:11:50.018Z"
