EntityName,EntityAbout,EntityType,PropertyName,PropertyAbout,PropertyType,Value,PhenomenonTime,ResultTime
"","","","","","","15.0","2014-10-31T16:22:14.740Z","2014-10-31T16:25:14.740Z"
"","","","","","","15.0","2014-10-31T16:17:57.451Z","2014-10-31T16:20:57.451Z"
"","","","","","","15.0","2014-10-31T16:15:01.446Z","2014-10-31T16:18:01.446Z"
"","","","","","","15.0","2014-10-31T16:12:20.910Z","2014-10-31T16:15:20.910Z"
"","","","","","","15.0","2014-10-31T16:09:22.029Z","2014-10-31T16:12:22.029Z"
"","","","","","","15.0","2014-10-31T16:06:32.596Z","2014-10-31T16:09:32.596Z"
"","","","","","","16.0","2014-10-31T16:03:06.822Z","2014-10-31T16:06:06.822Z"
"","","","","","","16.0","2014-10-31T15:34:34.403Z","2014-10-31T15:44:34.403Z"
"","","","","","","16.0","2014-10-31T15:21:52.795Z","2014-10-31T15:31:52.795Z"
"","","","","","","16.0","2014-10-31T15:08:47.855Z","2014-10-31T15:18:47.855Z"
"","","","","","","16.0","2014-10-31T14:56:26.528Z","2014-10-31T15:06:26.528Z"
"","","","","","","15.0","2014-10-31T14:43:46.504Z","2014-10-31T14:53:46.504Z"
"","","","","","","15.0","2014-10-31T14:25:22.226Z","2014-10-31T14:35:22.226Z"
"","","","","","","15.0","2014-10-31T14:12:46.535Z","2014-10-31T14:22:46.535Z"
"","","","","","","15.0","2014-10-31T13:59:54.831Z","2014-10-31T14:09:54.831Z"
"","","","","","","15.0","2014-10-31T13:47:31.136Z","2014-10-31T13:57:31.136Z"
"","","","","","","15.0","2014-10-31T13:35:07.739Z","2014-10-31T13:45:07.739Z"
"","","","","","","15.0","2014-10-31T13:22:54.665Z","2014-10-31T13:32:54.665Z"
"","","","","","","15.0","2014-10-31T13:10:31.826Z","2014-10-31T13:20:31.826Z"
"","","","","","","15.0","2014-10-31T12:58:07.615Z","2014-10-31T13:08:07.615Z"
